------------------------------------------------------------------------------------------
-----------------------------Welcome to the ProcessInfo automation script-----------------------------------
------------------------------------------------------------------------------------------

{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375}
{'name': 'System', 'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.0390625}
{'name': '', 'pid': 188, 'username': None, 'vms': 0.171875}
{'name': 'Registry', 'pid': 232, 'username': None, 'vms': 27.91796875}
{'name': 'smss.exe', 'pid': 800, 'username': None, 'vms': 1.140625}
{'name': 'RuntimeBroker.exe', 'pid': 960, 'username': 'BHAVESH\\ahire', 'vms': 1.8828125}
{'name': 'svchost.exe', 'pid': 964, 'username': None, 'vms': 1.90234375}
{'name': 'cmd.exe', 'pid': 968, 'username': 'BHAVESH\\ahire', 'vms': 1.8828125}
{'name': 'conhost.exe', 'pid': 1232, 'username': 'BHAVESH\\ahire', 'vms': 1.703125}
{'name': 'csrss.exe', 'pid': 1364, 'username': None, 'vms': 2.43359375}
{'name': 'wininit.exe', 'pid': 1452, 'username': None, 'vms': 1.44921875}
{'name': 'csrss.exe', 'pid': 1460, 'username': None, 'vms': 3.0625}
{'name': 'winlogon.exe', 'pid': 1520, 'username': None, 'vms': 2.7109375}
{'name': 'powershell.exe', 'pid': 1572, 'username': 'BHAVESH\\ahire', 'vms': 69.0625}
{'name': 'services.exe', 'pid': 1596, 'username': None, 'vms': 5.78125}
{'name': 'LsaIso.exe', 'pid': 1604, 'username': None, 'vms': 1.26953125}
{'name': 'lsass.exe', 'pid': 1624, 'username': None, 'vms': 12.2578125}
{'name': 'dwm.exe', 'pid': 1636, 'username': None, 'vms': 177.28515625}
{'name': 'svchost.exe', 'pid': 1764, 'username': None, 'vms': 13.46484375}
{'name': 'fontdrvhost.exe', 'pid': 1796, 'username': None, 'vms': 1.6640625}
{'name': 'fontdrvhost.exe', 'pid': 1800, 'username': None, 'vms': 2.015625}
{'name': 'WUDFHost.exe', 'pid': 1872, 'username': None, 'vms': 5.49609375}
{'name': 'HP.myHP.exe', 'pid': 1900, 'username': 'BHAVESH\\ahire', 'vms': 53.2109375}
{'name': 'svchost.exe', 'pid': 1944, 'username': None, 'vms': 9.9296875}
{'name': 'svchost.exe', 'pid': 1996, 'username': None, 'vms': 3.12109375}
{'name': 'WUDFHost.exe', 'pid': 2076, 'username': None, 'vms': 8.77734375}
{'name': 'ms-teams.exe', 'pid': 2148, 'username': 'BHAVESH\\ahire', 'vms': 24.015625}
{'name': 'WindowsTerminal.exe', 'pid': 2160, 'username': 'BHAVESH\\ahire', 'vms': 64.4765625}
{'name': 'svchost.exe', 'pid': 2168, 'username': None, 'vms': 1.26953125}
{'name': 'svchost.exe', 'pid': 2176, 'username': None, 'vms': 1.88671875}
{'name': 'svchost.exe', 'pid': 2200, 'username': None, 'vms': 2.41015625}
{'name': 'OmenCommandCenterBackground.exe', 'pid': 2248, 'username': 'BHAVESH\\ahire', 'vms': 235.90234375}
{'name': 'SDXHelper.exe', 'pid': 2280, 'username': 'BHAVESH\\ahire', 'vms': 14.3828125}
{'name': 'svchost.exe', 'pid': 2324, 'username': 'BHAVESH\\ahire', 'vms': 10.7109375}
{'name': 'svchost.exe', 'pid': 2452, 'username': None, 'vms': 4.1796875}
{'name': 'svchost.exe', 'pid': 2460, 'username': None, 'vms': 7.49609375}
