------------------------------------------------------------------------------------------
-----------------------------Welcome to the ProcessInfo automation script-----------------------------------
------------------------------------------------------------------------------------------

{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375}
{'pid': 4, 'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.0390625}
{'pid': 188, 'name': '', 'username': None, 'vms': 0.171875}
{'pid': 232, 'name': 'Registry', 'username': None, 'vms': 27.9140625}
{'pid': 800, 'name': 'smss.exe', 'username': None, 'vms': 1.140625}
{'pid': 960, 'name': 'RuntimeBroker.exe', 'username': 'BHAVESH\\ahire', 'vms': 1.8828125}
{'pid': 964, 'name': 'svchost.exe', 'username': None, 'vms': 1.90234375}
{'pid': 968, 'name': 'cmd.exe', 'username': 'BHAVESH\\ahire', 'vms': 1.8828125}
{'pid': 1232, 'name': 'conhost.exe', 'username': 'BHAVESH\\ahire', 'vms': 1.703125}
{'pid': 1364, 'name': 'csrss.exe', 'username': None, 'vms': 2.43359375}
{'pid': 1452, 'name': 'wininit.exe', 'username': None, 'vms': 1.44921875}
{'pid': 1460, 'name': 'csrss.exe', 'username': None, 'vms': 2.94140625}
{'pid': 1520, 'name': 'winlogon.exe', 'username': None, 'vms': 2.7109375}
{'pid': 1572, 'name': 'powershell.exe', 'username': 'BHAVESH\\ahire', 'vms': 69.0625}
{'pid': 1596, 'name': 'services.exe', 'username': None, 'vms': 5.9296875}
{'pid': 1604, 'name': 'LsaIso.exe', 'username': None, 'vms': 1.26953125}
{'pid': 1624, 'name': 'lsass.exe', 'username': None, 'vms': 12.734375}
{'pid': 1636, 'name': 'dwm.exe', 'username': None, 'vms': 179.96484375}
{'pid': 1764, 'name': 'svchost.exe', 'username': None, 'vms': 14.3515625}
{'pid': 1796, 'name': 'fontdrvhost.exe', 'username': None, 'vms': 1.6640625}
{'pid': 1800, 'name': 'fontdrvhost.exe', 'username': None, 'vms': 2.015625}
{'pid': 1872, 'name': 'WUDFHost.exe', 'username': None, 'vms': 5.49609375}
{'pid': 1900, 'name': 'HP.myHP.exe', 'username': 'BHAVESH\\ahire', 'vms': 53.203125}
{'pid': 1944, 'name': 'svchost.exe', 'username': None, 'vms': 10.38671875}
