------------------------------------------------------------------------------------------
-----------------------------Welcome to the ProcessInfo automation script-----------------------------------
------------------------------------------------------------------------------------------

{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'vms': 0.05859375}
{'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 4, 'vms': 0.04296875}
{'name': '', 'username': None, 'pid': 188, 'vms': 0.171875}
{'name': 'Registry', 'username': None, 'pid': 232, 'vms': 40.3671875}
{'name': 'smss.exe', 'username': None, 'pid': 800, 'vms': 1.140625}
{'name': 'RuntimeBroker.exe', 'username': 'BHAVESH\\ahire', 'pid': 960, 'vms': 1.8828125}
{'name': 'svchost.exe', 'username': None, 'pid': 964, 'vms': 1.90234375}
{'name': 'cmd.exe', 'username': 'BHAVESH\\ahire', 'pid': 968, 'vms': 1.8828125}
{'name': 'conhost.exe', 'username': 'BHAVESH\\ahire', 'pid': 1232, 'vms': 1.703125}
{'name': 'csrss.exe', 'username': None, 'pid': 1364, 'vms': 2.43359375}
{'name': 'wininit.exe', 'username': None, 'pid': 1452, 'vms': 1.44921875}
{'name': 'csrss.exe', 'username': None, 'pid': 1460, 'vms': 2.93359375}
{'name': 'winlogon.exe', 'username': None, 'pid': 1520, 'vms': 2.7109375}
{'name': 'powershell.exe', 'username': 'BHAVESH\\ahire', 'pid': 1572, 'vms': 69.078125}
{'name': 'services.exe', 'username': None, 'pid': 1596, 'vms': 6.0}
{'name': 'LsaIso.exe', 'username': None, 'pid': 1604, 'vms': 1.28515625}
{'name': 'lsass.exe', 'username': None, 'pid': 1624, 'vms': 12.4140625}
{'name': 'dwm.exe', 'username': None, 'pid': 1636, 'vms': 179.0234375}
{'name': 'VSSVC.exe', 'username': None, 'pid': 1748, 'vms': 2.359375}
{'name': 'svchost.exe', 'username': None, 'pid': 1764, 'vms': 13.7890625}
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 1796, 'vms': 1.7421875}
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 1800, 'vms': 2.015625}
{'name': 'WUDFHost.exe', 'username': None, 'pid': 1872, 'vms': 5.49609375}
{'name': 'HP.myHP.exe', 'username': 'BHAVESH\\ahire', 'pid': 1900, 'vms': 53.25}
{'name': 'svchost.exe', 'username': None, 'pid': 1944, 'vms': 10.31640625}
{'name': 'powershell.exe', 'username': 'BHAVESH\\ahire', 'pid': 1960, 'vms': 70.77734375}
{'name': 'svchost.exe', 'username': None, 'pid': 1996, 'vms': 3.125}
{'name': 'svchost.exe', 'username': None, 'pid': 2072, 'vms': 1.8203125}
{'name': 'WUDFHost.exe', 'username': None, 'pid': 2076, 'vms': 8.77734375}
{'name': 'ms-teams.exe', 'username': 'BHAVESH\\ahire', 'pid': 2148, 'vms': 24.015625}
{'name': 'svchost.exe', 'username': None, 'pid': 2168, 'vms': 1.26953125}
{'name': 'svchost.exe', 'username': None, 'pid': 2176, 'vms': 1.83203125}
{'name': 'svchost.exe', 'username': None, 'pid': 2200, 'vms': 2.34765625}
{'name': 'OmenCommandCenterBackground.exe', 'username': 'BHAVESH\\ahire', 'pid': 2248, 'vms': 235.9453125}
{'name': 'SDXHelper.exe', 'username': 'BHAVESH\\ahire', 'pid': 2280, 'vms': 14.6015625}
{'name': 'svchost.exe', 'username': 'BHAVESH\\ahire', 'pid': 2324, 'vms': 10.71875}
{'name': 'svchost.exe', 'username': None, 'pid': 2452, 'vms': 4.09765625}
{'name': 'svchost.exe', 'username': None, 'pid': 2460, 'vms': 8.12109375}
{'name': 'svchost.exe', 'username': None, 'pid': 2468, 'vms': 3.265625}
{'name': 'svchost.exe', 'username': None, 'pid': 2476, 'vms': 2.26171875}
{'name': 'svchost.exe', 'username': None, 'pid': 2484, 'vms': 3.5859375}
